Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168903,07/03/2026,Darlington,Chester,Jonah Lowes,right-foot,regular,block,0.01719,0.0
14168903,07/03/2026,Darlington,Chester,Jonah Lowes,left-foot,regular,miss,0.2313,0.0
14168918,10/03/2026,Darlington,Buxton,Jonah Lowes,left-foot,throw-in-set-piece,block,0.01118,0.0
14168918,10/03/2026,Darlington,Buxton,Jonah Lowes,left-foot,regular,save,0.116,0.5908
14168918,10/03/2026,Darlington,Buxton,Jonah Lowes,right-foot,throw-in-set-piece,block,0.005761,0.0
14168931,14/03/2026,Darlington,Leamington,Jonah Lowes,left-foot,regular,post,0.1708,0.0
14168931,14/03/2026,Darlington,Leamington,Jonah Lowes,head,regular,miss,0.5396,0.0
14168931,14/03/2026,Darlington,Leamington,Jonah Lowes,right-foot,regular,miss,0.09603,0.0
14168951,28/03/2026,Darlington,Fylde,Jonah Lowes,right-foot,throw-in-set-piece,block,0.2087,0.0
14168951,28/03/2026,Darlington,Fylde,Jonah Lowes,left-foot,set-piece,block,0.03641,0.0
14168951,28/03/2026,Darlington,Fylde,Jonah Lowes,right-foot,set-piece,block,0.004253,0.0
14168998,11/04/2026,Darlington,Marine,Jonah Lowes,left-foot,regular,save,0.4182,0.5587
14169013,25/04/2026,Darlington,Oxford,Jonah Lowes,right-foot,regular,block,0.008543,0.0
14168946,21/03/2026,Darlington,Peterborough,Jonah Lowes,right-foot,regular,miss,0.2069,0.0
14168973,06/04/2026,Darlington,South Shields,Jonah Lowes,right-foot,corner,miss,0.03917,0.0
14168973,06/04/2026,Darlington,South Shields,Jonah Lowes,right-foot,corner,miss,0.06471,0.0
14168973,06/04/2026,Darlington,South Shields,Jonah Lowes,right-foot,regular,block,0.1357,0.0
