Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14169188,18/10/2025,Buxton,Chorley,Kieran Burton,left-foot,corner,save,0.6171,0.6832
14169188,18/10/2025,Buxton,Chorley,Kieran Burton,head,throw-in-set-piece,save,0.1616,0.08982
14168628,25/10/2025,Buxton,Alfreton,Kieran Burton,head,corner,save,0.03942,0.01786
14168628,25/10/2025,Buxton,Alfreton,Kieran Burton,right-foot,corner,goal,0.2713,0.8181
14168628,25/10/2025,Buxton,Alfreton,Kieran Burton,left-foot,regular,goal,0.07189,0.1407
14168628,25/10/2025,Buxton,Alfreton,Kieran Burton,left-foot,regular,miss,0.1265,0.0
14168662,08/11/2025,Buxton,Chester,Kieran Burton,left-foot,throw-in-set-piece,block,0.004384,0.0
14168662,08/11/2025,Buxton,Chester,Kieran Burton,right-foot,regular,block,0.1413,0.0
14168845,10/02/2026,Buxton,Peterborough,Kieran Burton,head,set-piece,miss,0.0479,0.0
14168878,24/02/2026,Buxton,King's Lynn,Kieran Burton,head,corner,post,0.1716,0.0
14168856,14/02/2026,Buxton,Chester,Kieran Burton,left-foot,regular,block,0.002161,0.0
14168675,22/11/2025,Buxton,Fylde,Kieran Burton,left-foot,regular,block,0.02898,0.0
14168691,25/11/2025,Buxton,King's Lynn,Kieran Burton,head,corner,miss,0.02399,0.0
14168798,24/01/2026,Buxton,Radcliffe,Kieran Burton,left-foot,corner,goal,0.1715,0.5591
14168511,23/08/2025,Buxton,Telford,Kieran Burton,head,set-piece,save,0.1377,0.3434
