Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168611,21/10/2025,Oxford,Bedford,Ewan Clark,right-foot,corner,block,0.07203,0.0
14168584,04/10/2025,Oxford,Curzon Ashton,Ewan Clark,left-foot,regular,goal,0.2253,0.4373
14168584,04/10/2025,Oxford,Curzon Ashton,Ewan Clark,left-foot,throw-in-set-piece,miss,0.002927,0.0
14168636,25/10/2025,Oxford,Leamington,Ewan Clark,left-foot,regular,save,0.05689,0.1823
14168636,25/10/2025,Oxford,Leamington,Ewan Clark,right-foot,regular,miss,0.02377,0.0
14168636,25/10/2025,Oxford,Leamington,Ewan Clark,right-foot,regular,block,0.07865,0.0
14168846,01/11/2025,Oxford,Bedford,Ewan Clark,right-foot,regular,miss,0.0192,0.0
14168846,01/11/2025,Oxford,Bedford,Ewan Clark,left-foot,corner,miss,0.04483,0.0
14168659,04/11/2025,Oxford,Hereford,Ewan Clark,right-foot,regular,miss,0.08887,0.0
14168659,04/11/2025,Oxford,Hereford,Ewan Clark,head,throw-in-set-piece,save,0.1798,0.5221
14168705,29/11/2025,Oxford,King's Lynn,Ewan Clark,left-foot,regular,save,0.02318,0.2103
14168725,06/12/2025,Oxford,Darlington,Ewan Clark,right-foot,regular,miss,0.096,0.0
14168725,06/12/2025,Oxford,Darlington,Ewan Clark,left-foot,corner,block,0.1293,0.0
14168777,10/01/2026,Oxford,Buxton,Ewan Clark,right-foot,regular,goal,0.4204,0.6682
14168803,24/01/2026,Oxford,Fylde,Ewan Clark,left-foot,regular,block,0.08115,0.0
14168803,24/01/2026,Oxford,Fylde,Ewan Clark,left-foot,regular,goal,0.2374,0.7331
14168944,21/03/2026,Oxford,Chorley,Ewan Clark,head,regular,goal,0.3356,0.7673
14168753,30/12/2025,Oxford,Peterborough,Ewan Clark,left-foot,corner,miss,0.01651,0.0
14168938,14/03/2026,Oxford,Southport,Ewan Clark,right-foot,regular,block,0.4329,0.0
14168938,14/03/2026,Oxford,Southport,Ewan Clark,left-foot,regular,save,0.06319,0.03355
14936374,18/11/2025,Oxford,South Shields,Ewan Clark,left-foot,throw-in-set-piece,miss,0.06597,0.0
14936374,18/11/2025,Oxford,South Shields,Ewan Clark,left-foot,regular,block,0.1643,0.0
14168733,20/12/2025,Oxford,Spennymoor,Ewan Clark,left-foot,regular,save,0.1649,0.3863
