Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
14168757,03/01/2026,South Shields,Buxton,Oliver Bainbridge,left-foot,throw-in-set-piece,save,0.03798,0.1098
14168649,05/11/2025,South Shields,Fylde,Oliver Bainbridge,right-foot,regular,goal,0.101,0.6633
14168932,14/03/2026,South Shields,Hereford,Oliver Bainbridge,left-foot,corner,block,0.006632,0.0
14168797,24/01/2026,South Shields,Marine,Oliver Bainbridge,right-foot,corner,goal,0.2069,0.3527
14837162,11/11/2025,South Shields,Merthyr,Oliver Bainbridge,left-foot,corner,block,0.00637,0.0
14837162,11/11/2025,South Shields,Merthyr,Oliver Bainbridge,right-foot,regular,save,0.08684,0.05446
14168830,31/10/2025,South Shields,Oxford,Oliver Bainbridge,left-foot,regular,save,0.08268,0.03993
14168900,28/02/2026,South Shields,Peterborough,Oliver Bainbridge,left-foot,regular,miss,0.009668,0.0
14168610,18/10/2025,South Shields,Hereford,Oliver Bainbridge,left-foot,corner,miss,0.01101,0.0
15184997,18/12/2025,South Shields,Peterborough,Oliver Bainbridge,head,regular,goal,0.3343,0.2689
15184997,18/12/2025,South Shields,Peterborough,Oliver Bainbridge,right-foot,regular,save,0.149,0.1087
15322118,20/01/2026,South Shields,Southport,Oliver Bainbridge,right-foot,regular,block,0.1588,0.0
14168947,21/03/2026,South Shields,Merthyr,Oliver Bainbridge,head,regular,goal,0.1443,0.4381
14168947,21/03/2026,South Shields,Merthyr,Oliver Bainbridge,right-foot,regular,miss,0.5681,0.0
14169020,25/04/2026,South Shields,Kidderminster,Oliver Bainbridge,left-foot,regular,save,0.1001,0.07208
14169020,25/04/2026,South Shields,Kidderminster,Oliver Bainbridge,head,regular,save,0.2988,0.3673
14168988,11/04/2026,South Shields,Radcliffe,Oliver Bainbridge,head,regular,miss,0.07572,0.0
14168988,11/04/2026,South Shields,Radcliffe,Oliver Bainbridge,right-foot,regular,goal,0.1061,0.0565
14168988,11/04/2026,South Shields,Radcliffe,Oliver Bainbridge,left-foot,corner,block,0.01595,0.0
14168973,06/04/2026,South Shields,Darlington,Oliver Bainbridge,left-foot,corner,miss,0.1814,0.0
14168973,06/04/2026,South Shields,Darlington,Oliver Bainbridge,left-foot,regular,save,0.05011,0.02351
14168973,06/04/2026,South Shields,Darlington,Oliver Bainbridge,left-foot,regular,block,0.01926,0.0
15603253,14/04/2026,South Shields,Macclesfield,Oliver Bainbridge,right-foot,regular,save,0.617,0.8324
