Match ID,Date,Attacking Team,Defending Team,Player Name,Body Part,Situation,Shot Type,xG,Post Shot xG
15473461,17/03/2026,Kidderminster,Chorley,Kieren Donnelly,right-foot,regular,save,0.1572,0.09221
15473461,17/03/2026,Kidderminster,Chorley,Kieren Donnelly,head,throw-in-set-piece,miss,0.06036,0.0
15559405,24/03/2026,Kidderminster,Darlington,Kieren Donnelly,right-foot,regular,save,0.04191,0.04935
14168923,10/03/2026,Kidderminster,Peterborough,Kieren Donnelly,right-foot,regular,save,0.624,0.8608
14168923,10/03/2026,Kidderminster,Peterborough,Kieren Donnelly,head,corner,miss,0.1464,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Kieren Donnelly,right-foot,regular,miss,0.3585,0.0
14168923,10/03/2026,Kidderminster,Peterborough,Kieren Donnelly,right-foot,regular,goal,0.1117,0.6868
14168923,10/03/2026,Kidderminster,Peterborough,Kieren Donnelly,right-foot,regular,save,0.2648,0.3248
14168933,14/03/2026,Kidderminster,Chester,Kieren Donnelly,right-foot,regular,miss,0.0388,0.0
14168933,14/03/2026,Kidderminster,Chester,Kieren Donnelly,right-foot,regular,save,0.1532,0.2451
14168957,28/03/2026,Kidderminster,Oxford,Kieren Donnelly,right-foot,regular,save,0.06048,0.01607
14168957,28/03/2026,Kidderminster,Oxford,Kieren Donnelly,right-foot,throw-in-set-piece,block,0.1922,0.0
14168957,28/03/2026,Kidderminster,Oxford,Kieren Donnelly,right-foot,regular,miss,0.0462,0.0
14168957,28/03/2026,Kidderminster,Oxford,Kieren Donnelly,head,regular,goal,0.1193,0.3772
15519410,31/03/2026,Kidderminster,Spennymoor,Kieren Donnelly,right-foot,regular,save,0.1391,0.07392
15519410,31/03/2026,Kidderminster,Spennymoor,Kieren Donnelly,left-foot,throw-in-set-piece,save,0.155,0.1158
